NO,REC_CREATE_TIME,REC_CREATOR,REC_REVISE_TIME,REC_REVISOR,ARCHIVE_FLAG,WORKSHEET_NO,WHOLE_BACKLOG_CODE,UNIT_CODE,SG_SIGN,SG_STD,LACK_WT,OUT_THICK,OUT_WIDTH,BEGIN_TIME,FINISH_TIME,最早开始时间,最晚开始时间,ORDER_NO,STATUS
424,,,,,,G16A551A03-4,IA,Z101,TL1438,JX1466-2013-03,100,95,0,20161028084141,20161028093259,20161026005630,20161029184655,G16A551A03,1
425,,,,,,G16A535A01-1,IA,Z101,38MnS6BY,XCJS-472-2015-03,100,95,0,20161028093259,20161028102417,20161026005630,20161030153901,G16A535A01,1
753,,,,,,G16A535D02-1,IA,Z101,C38+N+P,JX1541-2016-02,107,95,0,20161028102417,20161028111911,20161026015212,20161031080415,G16A535D02,1
755,,,,,,G16A535D02-2,IA,Z101,C38+N+P,JX1541-2016-02,93,95,0,20161028111911,20161028120654,20161026013731,20161030125922,G16A535D02,1
426,,,,,,G16A535A01-2,IA,Z101,38MnS6BY,XCJS-472-2015-03,100,95,0,20161028120654,20161028125812,20161026005630,20161030171156,G16A535A01,1
828,,,,,,G16A421A05-1,IA,Z101,SCM440,EJX196-2012-03,20,95,0,20161028125812,20161028130827,20161026002058,20161125224002,G16A421A05,1
832,,,,,,G16A310E02-1,IA,Z101,TSMn438S1,JX1437-2012-01,107,95,0,20161028130827,20161028140321,20161026015212,20161107164804,G16A310E02,1
833,,,,,,G16A310E02-2,IA,Z101,TSMn438S1,JX1437-2012-01,43,95,0,20161028140321,20161028142524,20161026004505,20161107205828,G16A310E02,1
685,,,,,,G16A310A02-1,IA,Z101,TL1438,JX1457-2016-02,100,92,0,20161028142524,20161028151642,20161026005630,20161106033237,G16A310A02,1
433,,,,,,L161296A01-1,IA,Z101,C15CACPE,XCJS-720-2014-01,5,92,0,20161028151642,20161028151915,20161026000249,20161125225550,L161296A01,1
343,,,,,,GW63794A04-1,IA,Z101,ETN-22UC,XCJS-668-2016-03,6.982,76,0,20161028151915,20161028152249,20161026000719,20161101005846,GW63794A04,1
344,,,,,,GW63794A05-1,IA,Z101,ETN-22UC,XCJS-668-2016-03,5.57,76,0,20161028152249,20161028152540,20161026000550,20161101010815,GW63794A05,1
269,,,,,,GW64080A03-1,IA,Z101,ETN-22UC,XCJS-668-2016-03,100,76,0,20161028152540,20161028161658,20161026014452,20161102054231,GW64080A03,1
271,,,,,,GW64080A04-1,IA,Z101,ETN-22UC,XCJS-668-2016-03,100,76,0,20161028161658,20161028170816,20161026014452,20161102071525,GW64080A04,1
801,,,,,,GW64152A01-1,IA,Z101,20MnCr5 Mod,XCJS-583-2012-01,100,76,0,20161028170816,20161028175934,20161026005630,20161101220425,GW64152A01,1
802,,,,,,GW64152A02-1,IA,Z101,20MnCr5 Mod,XCJS-583-2012-01,100,76,0,20161028175934,20161028185052,20161026005630,20161101203131,GW64152A02,1
661,,,,,,G16A437B01-5,IA,Z101,38MnVS6,JX1221-2013-02,100,75,0,20161028185052,20161028194210,20161026005630,20161114004624,G16A437B01,1
184,,,,,,G16A615A01-1,IA,Z101,20MnCr5,JX519-2009-04,25,75,0,20161028194210,20161028195459,20161026001407,20161028080504,G16A615A01,0
663,,,,,,G16A437B01-6,IA,Z101,38MnVS6,JX1221-2013-02,100,75,0,20161028195459,20161028204617,20161026005630,20161114021918,G16A437B01,1
185,,,,,,G16A891A02-1,IA,Z101,ZF7B,XCJS-299-2008-01,15,75,0,20161028204617,20161028205358,20161026000828,20161104232308,G16A891A02,1
665,,,,,,G16A437B01-7,IA,Z101,38MnVS6,JX1221-2013-02,20,75,0,20161028205358,20161028210413,20161026001118,20161114064232,G16A437B01,1
186,,,,,,G16A933A02-1,IA,Z101,C70S6BY,JX1933-2015-02,9,75,0,20161028210413,20161028210850,20161026000505,20161105001323,G16A933A02,1
48,,,,,,G16A377C05-2,IA,Z101,100Cr6,JXT030-2014-01,100,90,0,20161028210850,20161028220008,20161026005630,20161112175041,G16A377C05,1
49,,,,,,G16A381A11-1,IA,Z101,GCr15,XCJS-451-2011-01,100,90,0,20161028220008,20161028225126,20161026005630,20161125225923,G16A381A11,1
50,,,,,,G16A381A11-2,IA,Z101,GCr15,XCJS-451-2011-01,100,90,0,20161028225126,20161028234244,20161026005630,20161125225923,G16A381A11,1
687,,,,,,G16A365A02-1,IA,Z101,SAE8620H(S),JX129-2001-01,100,90,0,20161028234244,20161029003402,20161026005630,20161125225923,G16A365A02,1
